id,giscode,siteaddres,landuse,scrcog_lu,yearbuilt,decadebuilt
2388,2223-118-00-0000,448 WOODIN ST,Single Fam M01,Residential,1945,1940s
2389,2223-119-00-0000,454 WOODIN ST,Single Fam M01,Residential,1948,1940s
2390,2223-120-00-0000,2 THORPE DR,Single Fam M01,Residential,1940,1940s
2391,2223-121-00-0000,14 THORPE DR,Single Fam M01,Residential,1950,1950s
2392,2223-122-00-0000,22 THORPE DR,Single Fam M01,Residential,1940,1940s
2393,2223-123-00-0000,36 THORPE DR,Single Fam M01,Residential,1940,1940s
2394,2223-124-00-0000,40 THORPE DR,Single Fam M01,Residential,1940,1940s
2395,2223-125-00-0000,46 THORPE DR,Single Fam M01,Residential,1950,1950s
2396,2223-126-00-0000,54 THORPE DR,Single Fam M01,Residential,1956,1950s
2397,2223-127-00-0000,62 THORPE DR,Single Fam M01,Residential,1956,1950s
2398,2223-128-00-0000,64 THORPE DR,Single Fam M01,Residential,1956,1950s
2400,2223-130-00-0000,65 THORPE DR,Single Fam M01,Residential,1954,1950s
2401,2223-131-00-0000,61 THORPE DR,Single Fam M01,Residential,1955,1950s
2402,2223-132-00-0000,55 THORPE DR,Single Fam M01,Residential,1952,1950s
2403,2223-133-00-0000,49 THORPE DR,Single Fam M01,Residential,1952,1950s
2404,2223-134-00-0000,43 THORPE DR,Single Fam M01,Residential,1952,1950s
2405,2223-135-00-0000,31 THORPE DR,Single Fam M01,Residential,1950,1950s
2406,2223-136-00-0000,83 HIGH TOP CR,Three Fam M01,Residential,1969,1960s
2407,2223-137-00-0000,93 HIGH TOP CR,Three Fam M01,Residential,1968,1960s
2408,2223-138-00-0000,103 HIGH TOP CR,Two Family M01,Residential,1968,1960s
2409,2223-139-00-0000,111 HIGH TOP CR,Two Family M01,Residential,1968,1960s
2410,2223-140-00-0000,117 HIGH TOP CR,Two Family M01,Residential,1969,1960s
2411,2223-141-00-0000,123 HIGH TOP CR,Two Family M01,Residential,1969,1960s
2412,2223-142-00-0000,129 HIGH TOP CR,Three Fam M01,Residential,1970,1970s
2413,2223-143-00-0000,137 HIGH TOP CR,Three Fam M01,Residential,1970,1970s
2414,2223-144-01-0000,161 THOMAS ST,Single Fam M01,Residential,1999,1990s
2415,2223-144-02-0000,151 THOMAS ST,Single Fam M01,Residential,1998,1990s
2416,2223-144-03-0000,141 THOMAS ST,Single Fam M01,Residential,1999,1990s
2417,2223-144-04-0000,131 THOMAS ST,Single Fam M01,Residential,1999,1990s
2418,2223-144-05-0000,121 THOMAS ST,Single Fam M01,Residential,2000,2000s
2419,2223-144-06-0000,111 THOMAS ST,Single Fam M01,Residential,2000,2000s
2420,2223-144-07-0000,101 THOMAS ST,Single Fam M01,Residential,1998,1990s
2421,2223-144-08-0000,93 THOMAS ST,Single Fam M01,Residential,1998,1990s
2422,2223-144-09-0000,2 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2423,2223-144-10-0000,3 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2424,2223-144-11-0000,83 THOMAS ST,Single Fam M01,Residential,2000,2000s
2425,2223-144-12-0000,11 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2426,2223-144-13-0000,21 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2427,2223-144-14-0000,31 VICTORIA CT,Single Fam M01,Residential,1998,1990s
2428,2223-144-15-0000,41 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2429,2223-144-16-0000,45 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2430,2223-144-17-0000,51 VICTORIA CT,Single Fam M01,Residential,1998,1990s
2431,2223-144-18-0000,61 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2432,2223-144-19-0000,67 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2433,2223-144-20-0000,71 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2434,2223-144-21-0000,81 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2435,2223-144-22-0000,91 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2436,2223-144-23-0000,101 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2437,2223-144-24-0000,111 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2438,2223-144-25-0000,118 VICTORIA CT,Single Fam M01,Residential,1998,1990s
2439,2223-144-26-0000,110 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2440,2223-144-27-0000,100 VICTORIA CT,Single Fam M01,Residential,1998,1990s
2441,2223-144-28-0000,90 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2442,2223-144-29-0000,80 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2443,2223-144-30-0000,70 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2444,2223-144-31-0000,64 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2445,2223-144-32-0000,60 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2446,2223-144-33-0000,50 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2447,2223-144-34-0000,44 VICTORIA CT,Single Fam M01,Residential,1999,1990s
2448,2223-144-35-0000,40 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2449,2223-144-36-0000,30 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2450,2223-144-37-0000,20 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2451,2223-144-38-0000,12 VICTORIA CT,Single Fam M01,Residential,2000,2000s
2453,2223-145-00-0000,6 MARYKNOLL RD,Single Fam M01,Residential,1967,1960s
2454,2223-146-00-0000,14 MARYKNOLL RD,Single Fam M01,Residential,1967,1960s
2455,2223-147-00-0000,51 WEST SIDE DR,Single Fam M01,Residential,1951,1950s
2456,2223-148-00-0000,45 WEST SIDE DR,Single Fam M01,Residential,1954,1950s
2457,2223-149-00-0000,35 WEST SIDE DR,Single Fam M01,Residential,1954,1950s
2458,2223-150-00-0000,29 WEST SIDE DR,Single Fam M01,Residential,1952,1950s
2459,2223-151-00-0000,23 WEST SIDE DR,Single Fam M01,Residential,1955,1950s
2460,2223-152-00-0000,17 WEST SIDE DR,Single Fam M01,Residential,1952,1950s
2461,2223-153-00-0000,11 WEST SIDE DR,Single Fam M01,Residential,1952,1950s
2462,2223-154-00-0000,519 WOODIN ST,Single Fam M01,Residential,1950,1950s
2463,2223-155-00-0000,585 WOODIN ST,Single Fam M01,Residential,1951,1950s
2464,2223-156-00-0000,577 WOODIN ST,Single Fam M01,Residential,1952,1950s
2465,2223-157-00-0000,571 WOODIN ST,Single Fam M01,Residential,1952,1950s
2466,2223-158-00-0000,21 TWIN BROOK RD,Single Fam M01,Residential,1952,1950s
2467,2223-159-00-0000,565 WOODIN ST,Single Fam M01,Residential,1952,1950s
2468,2223-160-00-0000,559 WOODIN ST,Single Fam M01,Residential,1952,1950s
2469,2223-161-00-0000,551 WOODIN ST,Single Fam M01,Residential,1953,1950s
2470,2223-162-00-0000,545 WOODIN ST,Single Fam M01,Residential,1952,1950s
2471,2223-163-00-0000,537 WOODIN ST,Single Fam M01,Residential,1952,1950s
2472,2223-164-00-0000,25 TWIN BROOK RD,Single Fam M01,Residential,1952,1950s
2473,2223-165-00-0000,31 TWIN BROOK RD,Single Fam M01,Residential,1952,1950s
2474,2223-166-00-0000,14 WEST SIDE DR,Single Fam M01,Residential,1952,1950s
2475,2223-167-00-0000,20 WEST SIDE DR,Single Fam M01,Residential,1955,1950s
2476,2223-168-00-0000,28 WEST SIDE DR,Single Fam M01,Residential,1952,1950s
2477,2223-169-00-0000,34 WEST SIDE DR,Single Fam M01,Residential,1955,1950s
2478,2223-170-00-0000,24 MARYKNOLL RD,Single Fam M01,Residential,1967,1960s
2479,2223-171-00-0000,92 WILMOT RD,Single Fam M01,Residential,1941,1940s
2480,2223-172-00-0000,86 WILMOT RD,Single Fam M01,Residential,1941,1940s
2481,2223-173-00-0000,80 WILMOT RD,Single Fam M01,Residential,1941,1940s
2482,2223-174-00-0000,74 WILMOT RD,Single Fam M01,Residential,1941,1940s
2483,2223-175-00-0000,129 MARYKNOLL RD,Single Fam M01,Residential,1968,1960s
2484,2223-176-00-0000,123 MARYKNOLL RD,Single Fam M01,Residential,1968,1960s
2485,2223-177-00-0000,117 MARYKNOLL RD,Single Fam M01,Residential,1968,1960s
2486,2223-178-00-0000,111 MARYKNOLL RD,Single Fam M01,Residential,1968,1960s
2487,2223-179-00-0000,105 MARYKNOLL RD,Single Fam M01,Residential,1968,1960s
2488,2223-180-00-0000,97 MARYKNOLL RD,Single Fam M01,Residential,1968,1960s
2489,2223-181-00-0000,123 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2490,2223-182-00-0000,129 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2491,2223-183-00-0000,135 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2492,2223-184-00-0000,141 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2493,2223-185-00-0000,147 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2494,2223-186-00-0000,153 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2495,2223-187-00-0000,159 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2496,2223-188-00-0000,163 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2497,2223-189-00-0000,184 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2498,2223-190-00-0000,172 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2499,2223-191-00-0000,160 OBERLIN RD,Single Fam M01,Residential,1948,1940s
2500,2223-192-00-0000,144 OBERLIN RD,Single Fam M01,Residential,1948,1940s
2501,2223-193-00-0000,136 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2502,2223-194-00-0000,167 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2503,2223-195-00-0000,175 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2504,2223-196-00-0000,181 OBERLIN RD,Single Fam M01,Residential,1947,1940s
2506,2224-001-00-0000,5 ROCKWOOD RD,Single Fam M01,Residential,1942,1940s
2507,2224-002-00-0000,397 PINE ROCK AVE,Single Fam M01,Residential,1942,1940s
2508,2224-003-00-0000,391 PINE ROCK AVE,Single Fam M01,Residential,1942,1940s
2509,2224-004-00-0000,385 PINE ROCK AVE,Single Fam M01,Residential,1949,1940s
2510,2224-005-00-0000,375 PINE ROCK AVE,Two Family M01,Residential,1930,1930s
2511,2224-006-00-0000,371 PINE ROCK AVE,Single Fam M01,Residential,1936,1930s
2512,2224-007-00-0000,6 JONES RD,Single Fam M01,Residential,1948,1940s
2513,2224-008-00-0000,35 ROCKVIEW RD,Single Fam M01,Residential,1948,1940s
2514,2224-009-00-0000,27 ROCKVIEW RD,Single Fam M01,Residential,1948,1940s
2515,2224-010-00-0000,21 ROCKVIEW RD,Single Fam M01,Residential,1958,1950s
2516,2224-011-00-0000,15 ROCKVIEW RD,Single Fam M01,Residential,1948,1940s
2517,2224-012-00-0000,9 ROCKVIEW RD,Single Fam M01,Residential,1941,1940s
2518,2224-013-00-0000,25 ROCKWOOD RD,Single Fam M01,Residential,1948,1940s
2519,2224-014-00-0000,17 ROCKWOOD RD,Single Fam M01,Residential,1948,1940s
2520,2224-015-00-0000,36 ROCKVIEW RD,Single Fam M01,Residential,1948,1940s
2521,2224-016-00-0000,19 THAYER ST,Single Fam M01,Residential,1948,1940s
2522,2224-017-00-0000,30 JONES RD,Single Fam M01,Residential,1948,1940s
2523,2224-018-00-0000,29 THAYER ST,Single Fam M01,Residential,1948,1940s
2524,2224-019-00-0000,37 ROCKWOOD RD,Single Fam M01,Residential,1942,1940s
2525,2224-020-00-0000,14 ROCKVIEW RD,Single Fam M01,Residential,1942,1940s
2526,2224-021-00-0000,22 ROCKVIEW RD,Single Fam M01,Residential,1952,1950s
2527,2224-022-00-0000,8 THAYER ST,Single Fam M01,Residential,1948,1940s
2528,2224-023-00-0000,14 THAYER ST,Single Fam M01,Residential,1948,1940s
2529,2224-024-00-0000,16 THAYER ST,Single Fam M01,Residential,1948,1940s
2530,2224-025-00-0000,22 THAYER ST,Single Fam M01,Residential,1948,1940s
2531,2224-026-00-0000,28 THAYER ST,Single Fam M01,Residential,1948,1940s
2532,2224-027-00-0000,56 JONES RD,Single Fam M01,Residential,1947,1940s
2533,2224-028-00-0000,43 ROCKWOOD RD,Single Fam M01,Residential,1948,1940s
2534,2224-029-00-0000,47 ROCKWOOD RD,Single Fam M01,Residential,1942,1940s
2535,2224-030-00-0000,53 ROCKWOOD RD,Single Fam M01,Residential,1942,1940s
2536,2224-031-00-0000,59 ROCKWOOD RD,Single Fam M01,Residential,1948,1940s
2537,2224-032-00-0000,65 ROCKWOOD RD,Single Fam M01,Residential,1948,1940s
2538,2224-033-00-0000,34 PEASE RD,Single Fam M01,Residential,1948,1940s
2539,2224-034-00-0000,28 PEASE RD,Single Fam M01,Residential,1948,1940s
2540,2224-035-00-0000,22 PEASE RD,Single Fam M01,Residential,1948,1940s
2541,2224-036-00-0000,16 PEASE RD,Single Fam M01,Residential,1948,1940s
2542,2224-037-00-0000,64 JONES RD,Single Fam M01,Residential,1948,1940s
2543,2224-038-00-0000,70 JONES RD,Single Fam M01,Residential,1940,1940s
2544,2224-039-00-0000,610 PINE ROCK AVE,Single Fam M01,Residential,1940,1940s
2545,2224-040-00-0000,4 WEST HELEN ST,Single Fam M01,Residential,1930,1930s
2546,2224-041-00-0000,8 WEST HELEN ST,Single Fam M01,Residential,1940,1940s
2547,2224-042-00-0000,12 WEST HELEN ST,Single Fam M01,Residential,1935,1930s
2548,2224-043-00-0000,18 WEST HELEN ST,Single Fam M01,Residential,1941,1940s
2549,2224-044-00-0000,26 WEST HELEN ST,Single Fam M01,Residential,1942,1940s
2550,2224-045-00-0000,208 WILMOT RD,Single Fam M01,Residential,1942,1940s
2551,2224-046-00-0000,202 WILMOT RD,Single Fam M01,Residential,1942,1940s
2552,2224-047-00-0000,196 WILMOT RD,Single Fam M01,Residential,1942,1940s
2553,2224-048-00-0000,190 WILMOT RD,Single Fam M01,Residential,1942,1940s
2554,2224-049-00-0000,184 WILMOT RD,Single Fam M01,Residential,1942,1940s
2555,2224-050-00-0000,178 WILMOT RD,Single Fam M01,Residential,1942,1940s
2556,2224-051-00-0000,172 WILMOT RD,Single Fam M01,Residential,1942,1940s
2557,2224-052-00-0000,566 PINE ROCK AVE,Single Fam M01,Residential,1950,1950s
2558,2224-053-00-0000,199 WILMOT RD,Single Fam M01,Residential,1942,1940s
2559,2224-054-00-0000,193 WILMOT RD,Single Fam M01,Residential,1942,1940s
2560,2224-055-00-0000,187 WILMOT RD,Single Fam M01,Residential,1942,1940s
2561,2224-056-00-0000,181 WILMOT RD,Single Fam M01,Residential,1943,1940s
2562,2224-057-00-0000,175 WILMOT RD,Single Fam M01,Residential,1942,1940s
2563,2224-058-00-0000,169 WILMOT RD,Single Fam M01,Residential,1942,1940s
2564,2224-059-00-0000,163 WILMOT RD,Single Fam M01,Residential,1942,1940s
2565,2224-060-00-0000,157 WILMOT RD,Single Fam M01,Residential,1942,1940s
2566,2224-061-00-0000,151 WILMOT RD,Single Fam M01,Residential,1942,1940s
2567,2224-062-00-0000,23 LYNMOT RD,Single Fam M01,Residential,1940,1940s
2568,2224-063-00-0000,17 LYNMOT RD,Single Fam M01,Residential,1940,1940s
2569,2224-064-00-0000,11 LYNMOT RD,Single Fam M01,Residential,1940,1940s
2570,2224-065-00-0000,5 LYNMOT RD,Single Fam M01,Residential,1940,1940s
2571,2224-066-00-0000,61 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2572,2224-067-00-0000,55 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2573,2224-068-00-0000,49 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2574,2224-069-00-0000,41 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2575,2224-070-00-0000,35 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2576,2224-071-00-0000,29 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2577,2224-072-00-0000,23 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2578,2224-073-00-0000,15 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2579,2224-074-00-0000,562 PINE ROCK AVE,Single Fam M01,Residential,1930,1930s
2580,2224-075-00-0000,558 PINE ROCK AVE,Single Fam M01,Residential,1945,1940s
2581,2224-076-00-0000,5 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2582,2224-077-00-0000,22 LYNMOT RD,Single Fam M01,Residential,1941,1940s
2583,2224-078-00-0000,14 LYNMOT RD,Single Fam M01,Residential,1940,1940s
2584,2224-079-00-0000,6 LYNMOT RD,Single Fam M01,Residential,1940,1940s
2585,2224-080-00-0000,87 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2586,2224-081-00-0000,93 OBERLIN RD,Single Fam M01,Residential,1941,1940s
2587,2224-082-00-0000,67 WILMOT RD,Single Fam M01,Residential,1942,1940s
2588,2224-083-00-0000,300 HELEN ST,Single Fam M01,Residential,1925,1920s
2589,2224-084-00-0000,294 HELEN ST,Single Fam M01,Residential,1925,1920s
2590,2224-085-00-0000,290 HELEN ST,Single Fam M01,Residential,1927,1920s
2591,2224-086-00-0000,284 HELEN ST,Single Fam M01,Residential,1927,1920s
2592,2224-087-00-0000,280 HELEN ST,Single Fam M01,Residential,1929,1920s
2593,2224-088-00-0000,116 ELMER AVE,Single Fam M01,Residential,1934,1930s
2594,2224-089-00-0000,112 ELMER AVE,Single Fam M01,Residential,1934,1930s
2595,2224-090-00-0000,106 ELMER AVE,Single Fam M01,Residential,1932,1930s
2596,2224-091-00-0000,100 ELMER AVE,Single Fam M01,Residential,1941,1940s
2597,2224-092-00-0000,94 ELMER AVE,Single Fam M01,Residential,1943,1940s
2598,2224-093-00-0000,90 ELMER AVE,Single Fam M01,Residential,1941,1940s
2599,2224-094-00-0000,84 ELMER AVE,Single Fam M01,Residential,1941,1940s
2600,2224-095-00-0000,80 ELMER AVE,Single Fam M01,Residential,1941,1940s
2601,2224-096-00-0000,74 ELMER AVE,Single Fam M01,Residential,1938,1930s
2602,2224-097-00-0000,70 ELMER AVE,Single Fam M01,Residential,1938,1930s
2603,2224-098-00-0000,64 ELMER AVE,Single Fam M01,Residential,1938,1930s
2604,2224-099-00-0000,60 ELMER AVE,Single Fam M01,Residential,1938,1930s
2605,2224-100-00-0000,56 ELMER AVE,Single Fam M01,Residential,1940,1940s
2606,2224-101-00-0000,50 ELMER AVE,Single Fam M01,Residential,1939,1930s
2607,2224-102-00-0000,44 ELMER AVE,Single Fam M01,Residential,1928,1920s
2608,2224-103-00-0000,38 ELMER AVE,Single Fam M01,Residential,1938,1930s
2609,2224-104-00-0000,34 ELMER AVE,Single Fam M01,Residential,1929,1920s
2610,2224-105-00-0000,30 ELMER AVE,Single Fam M01,Residential,1938,1930s
2611,2224-106-00-0000,22 ELMER AVE,Single Fam M01,Residential,1938,1930s
2612,2224-107-00-0000,305 WOODIN ST,Single Fam M01,Residential,1930,1930s
2613,2224-108-00-0000,311 WOODIN ST,Single Fam M01,Residential,1938,1930s
2614,2224-109-00-0000,315 WOODIN ST,Single Fam M01,Residential,1930,1930s
2615,2224-110-00-0000,319 WOODIN ST,Single Fam M01,Residential,1927,1920s
2617,2224-112-00-0000,465 PINE ROCK AVE,Single Fam M01,Residential,1925,1920s
2618,2224-113-00-0000,479 PINE ROCK AVE,Single Fam M01,Residential,1949,1940s
2619,2224-114-00-0000,483 PINE ROCK AVE,Single Fam M01,Residential,1943,1940s
2620,2224-115-00-0000,487 PINE ROCK AVE,Single Fam M01,Residential,1947,1940s
2621,2224-117-00-0000,499 PINE ROCK AVE,Single Fam M01,Residential,1935,1930s
2622,2224-118-00-0000,503 PINE ROCK AVE,Single Fam M01,Residential,1933,1930s
2625,2224-121-00-0000,525 PINE ROCK AVE,Single Fam M01,Residential,1940,1940s
2626,2224-122-00-0000,529 PINE ROCK AVE,Single Fam M01,Residential,1940,1940s
2627,2224-123-00-0000,535 PINE ROCK AVE,Single Fam M01,Residential,1950,1950s
2628,2224-124-00-0000,539 PINE ROCK AVE,Single Fam M01,Residential,1930,1930s
2629,2224-125-00-0000,545 PINE ROCK AVE,Single Fam M01,Residential,1955,1950s
2630,2224-126-00-0000,553 PINE ROCK AVE,Single Fam M01,Residential,1940,1940s
2631,2224-127-00-0000,559 PINE ROCK AVE,Single Fam M01,Residential,1945,1940s
2632,2224-128-00-0000,563 PINE ROCK AVE,Single Fam M01,Residential,1945,1940s
2633,2224-129-00-0000,573 PINE ROCK AVE,Single Fam M01,Residential,1945,1940s
2634,2224-131-00-0000,95 ELMER AVE,Single Fam M01,Residential,1941,1940s
2635,2224-132-00-0000,43 LACONIA ST,Single Fam M01,Residential,1940,1940s
2636,2224-133-00-0000,37 LACONIA ST,Single Fam M01,Residential,1930,1930s
2637,2224-134-00-0000,33 LACONIA ST,Single Fam M01,Residential,1932,1930s
2638,2224-135-00-0000,50 LACONIA ST,Single Fam M01,Residential,1943,1940s
2639,2224-136-00-0000,73 ELMER AVE,Single Fam M01,Residential,1941,1940s
2640,2224-137-00-0000,67 ELMER AVE,Single Fam M01,Residential,1941,1940s
2641,2224-138-00-0000,63 ELMER AVE,Single Fam M01,Residential,1941,1940s
2642,2224-139-00-0000,57 ELMER AVE,Single Fam M01,Residential,1941,1940s
2643,2224-140-00-0000,53 ELMER AVE,Single Fam M01,Residential,1949,1940s
2644,2224-141-00-0000,47 ELMER AVE,Single Fam M01,Residential,1941,1940s
2646,2224-143-00-0000,37 ELMER AVE,Single Fam M01,Residential,1941,1940s
2647,2224-144-00-0000,27 ELMER AVE,Single Fam M01,Residential,1941,1940s
2648,2224-145-00-0000,23 ELMER AVE,Single Fam M01,Residential,1941,1940s
2649,2224-146-00-0000,17 ELMER AVE,Single Fam M01,Residential,1941,1940s
2650,2224-147-00-0000,11 ELMER AVE,Single Fam M01,Residential,1941,1940s
2651,2224-148-00-0000,291 WOODIN ST,Single Fam M01,Residential,1945,1940s
2652,2224-149-00-0000,279 WOODIN ST,Single Fam M01,Residential,1919,1910s
2654,2224-151-00-0000,22 LONGMEADOW AVE,Single Fam M01,Residential,1928,1920s
2655,2224-152-00-0000,28 LONGMEADOW AVE,Single Fam M01,Residential,1942,1940s
2656,2224-153-00-0000,34 LONGMEADOW AVE,Single Fam M01,Residential,1942,1940s
2657,2224-154-00-0000,38 LONGMEADOW AVE,Single Fam M01,Residential,1928,1920s
2658,2224-155-00-0000,44 LONGMEADOW AVE,Single Fam M01,Residential,1942,1940s
2659,2224-156-00-0000,48 LONGMEADOW AVE,Single Fam M01,Residential,1942,1940s
2660,2224-157-00-0000,52 LONGMEADOW AVE,Single Fam M01,Residential,1928,1920s
2661,2224-158-00-0000,58 LONGMEADOW AVE,Single Fam M01,Residential,1939,1930s
2662,2224-159-00-0000,62 LONGMEADOW AVE,Single Fam M01,Residential,1928,1920s
2663,2224-160-00-0000,68 LONGMEADOW AVE,Single Fam M01,Residential,1940,1940s
2664,2224-161-00-0000,72 LONGMEADOW AVE,Single Fam M01,Residential,1949,1940s
2665,2224-162-00-0000,78 LONGMEADOW AVE,Single Fam M01,Residential,1952,1950s
2666,2224-163-00-0000,88 LONGMEADOW AVE,Single Fam M01,Residential,1950,1950s
2667,2224-164-00-0000,67 LONGMEADOW AVE,Single Fam M01,Residential,1937,1930s
2668,2224-165-00-0000,63 LONGMEADOW AVE,Single Fam M01,Residential,1937,1930s
2669,2224-166-00-0000,57 LONGMEADOW AVE,Single Fam M01,Residential,1938,1930s
2670,2224-167-00-0000,53 LONGMEADOW AVE,Single Fam M01,Residential,1940,1940s
2671,2224-168-00-0000,47 LONGMEADOW AVE,Single Fam M01,Residential,1928,1920s
2672,2224-169-00-0000,43 LONGMEADOW AVE,Single Fam M01,Residential,1927,1920s
2673,2224-170-00-0000,37 LONGMEADOW AVE,Single Fam M01,Residential,1929,1920s
2674,2224-171-00-0000,33 LONGMEADOW AVE,Single Fam M01,Residential,1926,1920s
2675,2224-172-00-0000,27 LONGMEADOW AVE,Single Fam M01,Residential,1946,1940s
2676,2224-173-00-0000,23 LONGMEADOW AVE,Single Fam M01,Residential,1930,1930s
2677,2224-174-00-0000,17 LONGMEADOW AVE,Single Fam M01,Residential,1940,1940s
2678,2224-175-00-0000,265 WOODIN ST,Single Fam M01,Residential,1950,1950s
2679,2224-176-00-0000,255 WOODIN ST,Two Family M01,Residential,1920,1920s
2680,2224-177-00-0000,6 GLENBROOK AVE,Single Fam M01,Residential,1941,1940s
2681,2224-178-00-0000,235 WOODIN ST,Single Fam M01,Residential,1940,1940s
2682,2224-179-00-0000,16 GLENBROOK AVE,Single Fam M01,Residential,1938,1930s
2683,2224-180-00-0000,20 GLENBROOK AVE,Single Fam M01,Residential,1940,1940s
2684,2224-181-00-0000,26 GLENBROOK AVE,Single Fam M01,Residential,1930,1930s
2685,2224-182-00-0000,30 GLENBROOK AVE,Single Fam M01,Residential,1930,1930s
2686,2224-183-00-0000,36 GLENBROOK AVE,Single Fam M01,Residential,1940,1940s
2687,2224-184-00-0000,40 GLENBROOK AVE,Single Fam M01,Residential,1973,1970s
2688,2224-185-00-0000,46 GLENBROOK AVE,Single Fam M01,Residential,1930,1930s
2689,2224-186-00-0000,506 PINE ROCK AVE,Multi Hses,Residential,1930,1930s
2691,2224-187-00-0000,512 PINE ROCK AVE,MIXED USE M01,Residential,1920,1920s
2692,2224-188-00-0000,526 PINE ROCK AVE,Single Fam M01,Residential,1940,1940s
2693,2224-189-00-0000,8 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2694,2224-190-00-0000,16 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2695,2224-191-00-0000,22 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2696,2224-192-00-0000,28 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2697,2224-193-00-0000,34 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2698,2224-194-00-0000,48 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2699,2224-195-00-0000,54 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2700,2224-196-00-0000,60 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2701,2224-197-00-0000,66 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2702,2224-198-00-0000,74 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2703,2224-199-00-0000,80 OBERLIN RD,Single Fam M01,Residential,1940,1940s
2704,2224-200-00-0000,37 WILMOT RD,Single Fam M01,Residential,1942,1940s
2705,2224-201-00-0000,31 WILMOT RD,Single Fam M01,Residential,1942,1940s
2706,2224-202-00-0000,25 WILMOT RD,Single Fam M01,Residential,1942,1940s
2707,2224-203-00-0000,21 WILMOT RD,Single Fam M01,Residential,1942,1940s
2708,2224-204-00-0000,15 WILMOT RD,Single Fam M01,Residential,1942,1940s
2709,2224-205-00-0000,407 WOODIN ST,Single Fam M01,Residential,1943,1940s
2710,2224-206-00-0000,397 WOODIN ST,Single Fam M01,Residential,1947,1940s
2711,2224-207-00-0000,71 LOLLER RD,Single Fam M01,Residential,1946,1940s
2712,2224-208-00-0000,65 LOLLER RD,Single Fam M01,Residential,1945,1940s
2713,2224-209-00-0000,59 LOLLER RD,Single Fam M01,Residential,1945,1940s
2714,2224-210-00-0000,55 LOLLER RD,Single Fam M01,Residential,1946,1940s
2715,2224-211-00-0000,51 LOLLER RD,Single Fam M01,Residential,1940,1940s
2716,2224-212-00-0000,45 LOLLER RD,Single Fam M01,Residential,1944,1940s
2717,2224-213-00-0000,41 LOLLER RD,Single Fam M01,Residential,1946,1940s
2718,2224-214-00-0000,35 LOLLER RD,Single Fam M01,Residential,1942,1940s
2719,2224-215-00-0000,27 LOLLER RD,Single Fam M01,Residential,1946,1940s
